"Alien Syndrome"," ",12.02.88,"Sunsoft"
"America Oudan Ultra Quiz: Shijou Saidai no Tatakai"," ","11/29/1991","Tomy"
"American Dream","CDS-A7","09/23/1989","C-Dream"
"American Football: Quarterback Scramble"," ","12/19/1989","Pony Canyon"
"American Football: Touchdown Fever","KAC-T7",11.11.88,"K. Amusement"
"Ankokushinwa: Yamatotakeru Densetsu"," ","03/24/1989","Tokyo Shoseki"
"Antarctic Adventure","RC804","04/22/1985","Konami"
"Aoki Okami to Shiroki Ojika: Genchouhishi"," ","03/25/1993","Koei"
"Aoki Okami to Shiroki Ojika: Genghis Khan"," ","04/20/1989","Koei"
"Arabian Dream Scheherazade","CBF-AS",09.03.87,"Culture Brain"
"Arctic: Active Rail Playing Game","PNF-A9","02/23/1990","Pony Canyon"
"Argos no Senshi: Hacha Mecha Daishingeki","TCF-AH","04/17/1987","Tecmo"
"Argus","JF-07","04/17/1986","Jaleco"
"Arkanoid","TFC-AN, 10","12/26/1986","Taito"
"Arkanoid II","TFC-ANII",03.08.88,"Taito"
"Armadillo","IGS-9T",08.09.91,"IGS"
"Armed Dragon Fantasy Villgust"," ","07/30/1993","Angel / Plex"
"Artelius","NBF-AU","11/13/1987","Nichibutsu"
"Asmik-kun Land","ASM-YI","12/20/1991","Asmik"
"ASO: Armored-Scrum-Object","SFX-AO",09.03.86,"SNK Electronics"
"Astro Fang","WAV-E1","10/26/1990","A-Wave"
"Astro Robo Sasa","HSP-01",08.09.85,"ASCII / Mass Tael"
"Athena","SFX-AT",06.05.87,"SNK Electronics"
"Atlantis no Nazo"," ","04/17/1986","Sunsoft"
"Attack Animal Gakuen"," ","12/26/1987","Pony Canyon"
"B-Wings","DFC-BW",06.03.86,"Data East"
"Babel no Tou",16,"07/18/1986","Namco"
"Baken Hisshou Gaku: Gate In","KAC-3F","05/25/1990","K. Amusement"
"Bakushou! Ai no Gekijou"," ","12/29/1990","Coconuts"
"Bakushou! Star Monomane Shitennou"," ","09/14/1990","Pack-In-Video"
"Bakushou!! Jinsei Gekijou"," ","03/17/1989","Taito"
"Bakushou!! Jinsei Gekijou 2","TFC-BJ2, 35","03/22/1991","Taito"
"Bakushou!! Jinsei Gekijou 3"," ","12/20/1991","Taito"
"Ballblazer","PNF-BZ",03.04.88,"Activision"
"Balloon Fight","HVC-BF","01/22/1985","Nintendo"
"Baltron","TDF-BT","03/19/1986","Toei Animation"
"Banana","VFR-B1",09.08.86,"Victor Musical"
"Bananan Ouji no Daibouken"," ","12/20/1991","Takara"
"Barcode World"," ","12/18/1992","Sunsoft / Epoch"
"Bard's Tale II: The Destiny Knight, The"," ","01/25/1992","Pony Canyon"
"Bard's Tale: Shirarezaru Monogatari, The"," ","12/21/1990","Pony Canyon"
"Baseball","HVC-BA",12.07.83,"Nintendo"
"Baseball Fighter"," ",07.05.91,"Vap"
"Baseball Star: Mezase Sankan-ou","SFX-B9","05/19/1989","SNK Electronics"
"Batman"," ","12/22/1989","Sunsoft"
"Batsu & Terry: Makyou no Tetsujin Race","USE-BC","07/22/1987","Use"
"Battle Baseball","BAP-1Z","02/19/1993","Banpresto"
"Battle City","NBC-4500, 09",09.09.85,"Namco"
"Battle Fleet"," ","06/22/1990","Namco"
"Battle Formula","TEC-5U","09/27/1991","Sunsoft / Tokai Engineering"
"Battle Rush"," ","11/13/1993","Bandai"
"Battle Stadium: Senbatsu Pro Yakyu"," ","12/20/1990","IGS"
"Battle Storm"," ","12/26/1991","Party Room 21"
"Battletoads","NCS-8T","12/20/1991","NCS / Masiya"
"Be-Bop-Highschool: Koukousei Gokuraku Densetsu","DFC-EP","03/30/1988","Data East"
"Best Keiba: Derby Stallion"," ","12/21/1991","ASCII"
"Best Play Baseball '90, The","HSP-36","12/13/1990","ASCII"
"Best Play Baseball II, The","HSP-33","03/30/1990","ASCII"
"Best Play Baseball Special, The","HSP-11","07/15/1988","ASCII"
"Best Play Baseball Special, The","HSP-BS","10/16/1992","ASCII"
"Best Play Baseball: Yakyu Shin Data, The"," ","07/15/1988","ASCII"
"Bikkuri Nekketsu Shinkiroku! Harukanaru Kin Medal","TJC-NK","06/26/1992","Technos Japan"
"Bikkuriman World: Gekitou Seisenshi","HVC-V3","07/31/1990","Nintendo"
"Binary Land","HFC-BI","12/19/1985","Hudson Soft / Momo"
"Bio Miracle Bokutte Upa","RV102","02/26/1993","Konami"
"Bio Senshi Dan: Increzer tono Tatakai","JF-14","09/22/1987","Jaleco"
"Bird Week","TFS-BK",06.03.86,"Toemiland / Toshiba EMI / Lenar"
"Birdie Rush Golf Club","DFC-GH",12.09.87,"Data East"
"Black Bass II, The","GAM-22","10/18/1988","Hot-B"
"Black Bass, The","GAM-BO",02.06.87,"Game Arts"
"Block Set"," ","07/26/1985","Nintendo"
"Bloody Warriors: Shan-go Troop Strikes Back","TDF-94","10/19/1990","Toei Animation"
"Blue Marlin, The","GAM-8N","12/27/1991","Hot-B"
"Bokosuka Wars","HSP-04","12/14/1985","ASCII"
"Bomber King","HFC-BX",08.07.87,"Hudson Soft"
"Bomber Man","HFC-BM","12/19/1985","Hudson Soft / Momo"
"Bomber Man II","HFC-2X","06/28/1991","Hudson Soft"
"Booby Kids","NBF-BB",07.10.87,"Nichibutsu"
"Boulder Dash","DFC-XB","03/23/1990","Data East"
"Brodia Land: Puzzle Quest"," ",08.11.90,"Tonkin House"
"Bubble Bobble 2","TFC-BB",03.05.93,"Taito"
"Bucky O'Hare","KDS-1V","01/31/1992","Konami"
"Buggy Popper","DFC-BP",10.08.86,"Data East"
"Burai Fighter","DTF-5F","07/20/1990","Taito / Taxan U.S.A."
"Burger Time",11,"11/27/1985","Namco"
"Business Wars"," ","01/24/1992","Hect"
"Cadillac","HCT-C5",02.02.90,"Hect"
"Capcom Barcelona '92","CAP-1N",06.05.92,"Capcom"
"Captain Ed","CBS-ED","08/25/1989","CBS/Sony Group"
"Captain Saver","TFC-CS","09/29/1992","Taito"
"Captain Silver","GTS-CK","12/16/1988","Tokuma Soft / Data East"
"Captain Tsubasa","TCF-TP, 06","04/28/1988","Tecmo"
"Captain Tsubasa II: Super Striker","TCF-T6, 11","07/20/1990","Tecmo"
"Casino Derby","YZW-KD","03/19/1993","Party Room 21"
"Castle Excellent","HSP-05","11/26/1986","ASCII"
"Castle Quest"," ","05/18/1990","Hudson Soft"
"Chack'n Pop",2,"05/24/1985","Taito"
"Challenger","HFC-CH","10/15/1985","Hudson Soft / Momo"
"Championship Bowling","ATH-8B",02.08.91,"Athena"
"Championship Lode Runner","HFC-CR","04/17/1985","Hudson Soft"
"Chaos World","NAT-1W","10/25/1991","Natsume"
"Chesterfield: Ankokushin heno Chousen","VIC-CF","07/30/1987","Vic Tokai"
"Chibi Maruko-Chan: Uki Uki Shopping"," ",10.04.91,"Namco"
"Chiisana Obake: Acchi Kocchi Socchi"," ",12.04.92,"Vap"
"Chikichiki Machine Mou Race"," ","12/25/1991","Atlus"
"Chip N' Dale's Rescue Rangers","CAP-JD",06.08.90,"Capcom"
"Chip N' Dale's Rescue Rangers 2"," ",12.10.93,"Capcom"
"Chiteisenku Bazolder"," ","11/15/1991","Sofel"
"Chiyo no Fuji no Daiginnan"," ",12.07.90,"Face"
"Choplifter","JF-08","06/26/1986","Jaleco"
"Choujikuu Yousai Macross"," ",12.10.85,"Namco"
"Choujin Sentai Jetman","ANG-OY","12/21/1991","Angel"
"Choujin Ultra Baseball","CBF-UB","10/27/1989","Culture Brain"
"Choujinrou Senki: Warwolf","TFC-W8","06/28/1991","Takara"
"Chouwakusei Senki: Meta Fight","TEC-MF","06/14/1988","Sunsoft / Tokai Engineering"
"Chugoku Senseijutsu"," ","11/29/1988","Jaleco"
"Chugokujanshi Monogatari Tonpu"," ","12/23/1989","Natsume"
"Chukadaisen","DTF-CW, 27","09/22/1989","Taito"
"Circus Charlie","SFC-CC",03.04.86,"Soft Pro International / Konami"
"City Connection","JF-05","09/27/1985","Jaleco"
"Clu Clu Land","HVC-CL","11/22/1984","Nintendo"
"Cobra Command"," ","10/21/1988","Data East"
"Cocoron","TKR-8C",05.03.91,"Takeru"
"Columbus: Ougon no Yoake"," ","11/20/1992","Tomy"
"Conflict","VIC-C3",12.01.89,"Vic Tokai"
"Contra","RC826",02.09.88,"Konami / Konami"
"Cosmic Epsilon","ASM-EO","11/24/1989","Asmik"
"Cosmic Wars","KDS-CJ",08.04.89,"Konami"
"Cosmo Genesis","HSP-06","12/23/1986","ASCII"
"Cosmo Police Galivan","NBF-GV",06.03.88,"Nichibutsu"
"Crayon Shin-chan: Ora to PoiPoi"," ","08/27/1993","Bandai"
"Crazy Climber","NBF-CY","12/26/1986","Nichibutsu"
"Crisis Force","RC856","08/27/1991","Konami"
"Cross Fire","KYG-C9",11.02.90,"Kyugo"
"Dai 2-ji Super Robot Taisen"," ","12/29/1991","Banpresto"
"Daikaiju Deburasu","DFC-24","12/21/1990","Data East"
"Daikoukaijidai"," ","03/15/1991","Koei"
"Daiku no Gen-San","IF-24, TIX-59","11/15/1991","Irem"
"Daiku no Gen-San 2: Akage no Dan no Gyakushu","IF-29","10/22/1993","Irem"
"Daisenryaku"," ",10.11.88,"Bothtec"
"Daiva: Imperial of Nirsartia","TFS-DV",12.05.86,"Toemiland / Toshiba EMI"
"Dark Lord","DFC-25",02.08.91,"Data East"
"Dash Yarou","VIS-5D","06/15/1990","Visco"
"Datsugoku","KAC-P7","06/30/1989","K. Amusement"
"De-Block","ATH-9L",08.09.91,"Athena"
"Dead Fox","CAP-VP","02/23/1990","Capcom"
"Deep Dungeon III: Yuushi heno Tabi"," ","05/13/1988","Humming Bird Soft"
"Deep Dungeon IV: Kuro no Youjutushi"," ",04.06.90,"Asmik / Humming Bird Soft"
"Deja Vu: A Nightmare Comes True!!","KSC-DG","11/22/1988","Icom Simulations / Kemco"
"Dengeki Big Bang!","VIC-B6","01/27/1989","Vic Tokai"
"Densen Rundesu"," ",03.06.92,"Takara"
"Derby Stallion: Thoroughbred Simulation Game","HSP-46","08/29/1992","ASCII"
"Devil Man"," ","04/25/1989","Namco"
"Devil World","HVC-DD",10.05.84,"Nintendo"
"Dezaemon: Desiger Yousei Soft"," ","09/13/1991","Athena"
"Die Hard","PAC-57","07/19/1991","Pack-In-Video"
"Dig Dug","NDD-4500, 06",06.04.85,"Namco"
"Dig Dug II",14,"04/18/1986","Namco"
"Digital Devil Monogatari: Megami Tensei"," ",09.11.87,"Namco"
"Digital Devil Monogatari: Megami Tensei II"," ",04.06.90,"Namco"
"Doki! Doki! Yuuenchi: Crazyland Daisakusen","VAP-VO",08.09.91,"Vap / Vap"
"Dokuganryuu Masamune"," ",04.05.88,"Namco"
"Don Doko Don","TFC-DD",03.09.90,"Taito"
"Don Doko Don 2",41,"01/31/1992","Taito"
"Donald Duck","KSC-WS","09/22/1988","Kemco / Kemco"
"Donald Land","DFC-DX","01/29/1988","Data East"
"Donkey Kong","HVC-DK","07/15/1983","Nintendo"
"Donkey Kong 3","HVC-DT",07.04.84,"Nintendo"
"Donkey Kong Jr.","HVC-JR","07/15/1983","Nintendo"
"Donkey Kong Jr. no Sansuu Asobi","HVC-CA",12.12.83,"Nintendo"
"Donkey Kong Jr./Donkey Kong Jr. no Sansu Asobi"," "," ","Sharp"
"Door Door","EFC-DR","07/18/1985","Enix"
"Dora3","NAT-3R","01/25/1991","Natsume"
"Doreamon","HFC-DO",12.12.86,"Hudson Soft"
"Doreamon: Giga Zombie no Gyakushu"," ","09/14/1990","Epoch"
"Double Dragon","TJC-WD",04.08.88,"Technos Japan"
"Double Dragon II: The Revenge","TJC-W2","12/22/1989","Technos Japan"
"Double Dragon III: The Rosetta Stone","TJC-ZW","02/22/1991","Technos Japan"
"Double Moon Densetsu","NCS-1T","10/30/1992","NCS / Masiya"
"Dough Boy","KSC-DB",12.11.85,"Kemco / Synapse"
"Downtown Nekketsu Koushinkyoku: Soreyuke Dai Undoukai","TJC-UH",10.12.90,"Technos Japan"
"Downtown Nekketsu Monogatari","TJC-DN","04/25/1989","Technos Japan"
"Dr. Chaos"," ","06/19/1987","Pony Canyon"
"Dr. Mario","HVC-VU","07/27/1990","Nintendo"
"Dragon Ball 3: Gokuden"," ","10/27/1989","Bandai"
"Dragon Ball Z Gaiden: Saiyajin Zetsumetsu Keikaku"," ",08.06.93,"Bandai"
"Dragon Ball Z II: Gekishin Freeza!!"," ",08.10.91,"Bandai"
"Dragon Ball Z III: Ressen Jinzou Ningen"," ",08.07.92,"Bandai"
"Dragon Ball Z: Gekitou Tenkaichi Budoukai"," ","12/29/1992","Bandai"
"Dragon Ball Z: Kyoushu! Saiya Jin"," ","10/27/1990","Bandai"
"Dragon Ball: Daimaou Fukkatsu"," ",08.12.88,"Bandai"
"Dragon Ball: Shenron no Nazo"," ","11/27/1986","Bandai"
"Dragon Buster"," ",01.07.87,"Namco"
"Dragon Buster II: Yami no Fuin"," ","04/27/1989","Namco"
"Dragon Fighter","TCC-1D",08.10.90,"Towa Chiki"
"Dragon Ninja"," ","07/14/1989","Namco"
"Dragon Quest","EFC-DQ","05/27/1986","Enix"
"Dragon Quest II: Akuryou no Kamigami","EFC-D2","01/26/1987","Enix"
"Dragon Quest III: Soshite Densetsue...","EFC-D3",02.10.88,"Enix"
"Dragon Quest IV: Michibikareshi Monotachi","EFC-D4",02.11.90,"Enix"
"Dragon Scroll: Yomigaerishi Maryu"," ",12.04.87,"Konami"
"Dragon Slayer IV"," ","07/17/1987","Namco"
"Dragon Spirit: Aratanaru Densetsu"," ","04/14/1989","Namco"
"Dragon Unit","ATH-ZX","02/27/1990","Athena"
"Dragon Wars","KSC-Z9",08.09.91,"Kemco"
"Dragon's Lair","ESF-IP","09/20/1991","Epic/Sony Records"
"Dream Master"," ","09/22/1992","Namco / Prism Zone"
"Duck Hunt","HVC-DH","04/21/1984","Nintendo"
"Duck Tales","CAP-UK","01/26/1990","Capcom"
"Duck Tales 2","CAP-DW","04/23/1993","Capcom"
"Dungeon & Magic: Swords of Element","NAT-DM",11.10.89,"Natsume"
"Dungeon Kid","BTC-7D","08/31/1990","Quest"
"Dynamite Batman"," ","12/20/1991","Sunsoft"
"Dynamite Bowl","TFS-DL","05/24/1987","Toemiland"
"Effort"," ","11/20/1987","Vap"
"Eggerland: Meikyu no Fukkatsu","HAL-EG",08.09.88,"HAL Laboratories"
"Egypt","HUM-E9","05/31/1991","Human / Human Creative"
"Elevator Action","TF-4900, 04","06/28/1985","Taito"
"Elnark no Zaihou"," ",08.10.87,"Towa Chiki"
"Elrond: Densetsu no Kishi","NMK-ER","07/15/1988","Jaleco / KK N.M.K."
"Elysion","TKS-G4","04/28/1988","Tokyo Shoseki"
"Emoyan no 10 bai Pro Yakyuu: Central League","HTC-IB","12/19/1989","Hect"
"Erika to Satoru no Yume Bouken"," ","09/27/1988","Namco"
"Espa Boukentai: Maou no Toride","JF-15","10/13/1987","Jaleco"
"Esper Dream 2","RC861","06/26/1992","Konami"
"Excite Bike","HVC-EB","11/30/1984","Nintendo"
"Exciting Boxing","RC250","12/16/1987","Konami"
"Exciting Rally","VRE-E2","04/24/1992","Kaken"
"Exed Exes","GTS-EE","12/21/1985","Tokuma Shoten / Capcom"
"Exerion","JF-01",02.11.85,"Jaleco"
"F-1 Sensation","KDS-FE","01/29/1993","Konami"
"F1 Circus","NBF-7F",02.07.92,"Nichibutsu"
"F1 Race","HVC-FR",11.02.84,"Nintendo"
"Famicom Igo Nyumon"," ","11/29/1991","I'Max"
"Famicom Jump II: Saikyou no 7nin"," ",12.02.91,"Bandai"
"Famicom Jump: Hero Retsuden"," ","02/15/1989","Bandai"
"Famicom Meijinsen"," ",09.02.88,"CNK"
"Famicom Shogi: Ryuousen"," ","02/15/1991","I'Max"
"Famicom Wars","HVC-FW",08.12.88,"Nintendo / Intelligent Systems"
"Famicom Yakyuban"," ","12/15/1989","Epoch"
"Family Basic"," ","06/21/1984","Nintendo"
"Family Basic V3","HVC-VT","02/21/1985","Nintendo / Sharp"
"Family Block","ATH-4T",04.12.91,"Athena"
"Family Boxing"," ","06/19/1987","Namco"
"Family Circuit"," ",01.06.88,"Namco"
"Family Circuit '91"," ","07/19/1991","Namco"
"Family Jockey"," ","04/24/1987","Namco"
"Family Mahjong"," ",08.11.87,"Namco"
"Family Mahjong II: Shanghai heno Michi"," ","11/25/1988","Namco"
"Family Pinball"," ","03/24/1989","Namco / Artman"
"Family Quiz: 4nin wa Rival","ATH-FQ","11/16/1988","Athena"
"Family Tennis"," ",12.11.87,"Namco"
"Family Trainer: Aerobics Studio",3,"02/26/1987","Bandai"
"Family Trainer: Athletic World",1,11.12.86,"Bandai"
"Family Trainer: Famitre Daiundoukai",7,"11/27/1987","Bandai"
"Family Trainer: Jogging Race",4,"05/28/1987","Bandai"
"Family Trainer: Manhattan Police",6,"08/31/1987","Bandai"
"Family Trainer: Meiro Daisakusen",5,"07/31/1987","Bandai"
"Family Trainer: Rairai Kyonsis: Baby Kyonsi no Amida Daibouken",10,"01/26/1988","Bandai"
"Family Trainer: Running Stadium",2,"12/23/1986","Bandai"
"Family Trainer: Totsugeki! Fuun Takeshijou",8,"12/28/1987","Bandai"
"Family Trainer: Totsugeki! Fuun Takeshijou 2",9,"12/20/1988","Bandai"
"Famista '89"," ","07/28/1989","Namco"
"Famista '90"," ","12/19/1989","Namco"
"Famista '91"," ","12/21/1990","Namco"
"Famista '92"," ","12/20/1991","Namco"
"Famista '93"," ","12/22/1992","Namco"
"Famista '94"," ",12.01.93,"Namco"
"Fantasy Zone"," ","07/20/1987","Sunsoft"
"Fantasy Zone 2: The Teardrop of Opa-Opa"," ","12/20/1988","Sunsoft"
"Faria: Fuin no Tsurugi"," ","07/21/1989","Hi-Score Media Work"
"Faxanadu","HFC-FX","11/16/1987","Hudson Soft"
"FC Genjin: Friendthropus Computerurus","HFC-F3","07/30/1993","Hudson Soft"
"Ferrari"," ","11/13/1992","Coconuts / C-Dream"
"Field Combat","JF-04",07.09.85,"Jaleco"
"Fighting Golf","SFX-FI","03/24/1988","SNK Electronics"
"Fighting Road","TDF-FG","12/13/1988","Toei Animation"
"Final Fantasy","SQF-FF","12/18/1987","Square Soft"
"Final Fantasy I + II","SQF-FO","02/27/1994","Square Soft"
"Final Fantasy II","SQF-FY","12/17/1988","Square Soft"
"Final Fantasy III","SQF-FC","04/24/1990","Square Soft"
"Final Lap"," ",08.12.88,"Namco"
"Final Mission","NAT-FV","06/22/1990","Natsume"
"Fire Emblem Gaiden","HVC-2I","03/14/1992","Nintendo"
"Fire Emblem: Ankoku Ryuu to Hikari no Tsurugi","HVC-VX","04/20/1990","Nintendo"
"Flappy","dBF-FL","06/14/1985","dB-Soft"
"Fleet Commander"," ","03/29/1988","ASCII"
"Flintstones: The Rescue of Dino & Hoppy, The","TFC-FS",08.07.92,"Taito"
"Flipull: An Exciting Cube Game","TFC-FP","12/15/1989","Taito"
"Flying Hero"," ","02/17/1989","Epic/Sony Records"
"Formation Z","JF-02",04.04.85,"Jaleco"
"Fraing Hero","ESF-FZ","02/17/1989","CBS/Sony Group"
"From the Legend of Balubalouk Aigina no Yogen","VIC-AY","11/21/1986","Vic Tokai"
"Front Line",3,08.01.85,"Taito"
"Fudou Myououden","TFC-FM, 17","03/29/1988","Taito"
"Fushigi no Blobby","DCE-OV","11/29/1990","Jaleco / Absolute"
"Fushigi no Umi no Nadia","THF-FD","03/15/1991","Toho"
"Fuzzical Fighter","SEI-1E","05/17/1991","Sigma"
"Galaga","NGG-4500, 05","02/15/1985","Namco"
"Galaxian","NGX-4500, 01",09.07.84,"Namco / Namco"
"Gambler Jikochushinha"," ",11.11.88,"Asmik"
"Gambler Jikochushinha 2"," ",12.07.90,"Asmik"
"Game Party"," ","07/27/1990","Coconuts / C-Dream"
"Ganbare Goemon 2","RC833",01.04.89,"Konami"
"Ganbare Goemon Gaiden 2: Tenka no Zaihou","RC857",01.03.92,"Konami"
"Ganbare Goemon Gaiden: Kieta Ougon Kiseru","RC840",01.05.90,"Konami"
"Ganbare Goemon! Karakuri Douchuu","RC815","07/30/1986","Konami"
"Ganbare Pennant Race!","RC834","02/28/1989","Konami"
"Ganso Saiyuuki: Super Monkey Diabouken","VAP-GS","11/21/1986","Vap"
"Gegege no Kitaro 2: Youkai Gundan no Chousen"," ","12/22/1987","Bandai"
"Gegege no Kitaro: Youkai Daimakyou"," ","04/17/1986","Bandai"
"Geimos","HSP-02","08/28/1985","ASCII / Wixel"
"Gekikame Ninja Den","KDS-GN",05.12.89,"Konami"
"Gekitotsu!! Yonku Battle","IF-15","11/17/1989","Irem / Irem"
"Gekitou Pro Wrestling!! Toukon Densetsu","TCF-PZ",09.01.89,"Tecmo"
"Gekitou!! Stadium","TCF-EF, 09","12/15/1989","Tecmo"
"Genpei Toumaden"," ","10/21/1988","Namco"
"Geppu Maden","RC819",07.07.87,"Konami"
"Ghostbusters","GTS-GB","09/22/1986","Tokuma Soft"
"Gimme a Break: Shijousaikyou no Quiz Ou Ketteisen","YZW-GY","12/13/1991","Party Room 21 / TBS"
"Gimme a Break: Shijousaikyou no Quiz Ou Ketteisen 2"," ","08/28/1992","Party Room 21"
"Gimmick!"," ","01/31/1992","Sunsoft"
"Ginga Eiyu Densetsu","KSC-GE","12/21/1988","Kemco"
"Ginga no Sannin","HVC-GT","12/15/1987","Nintendo"
"Goal!!"," ","09/25/1992","Jaleco"
"God Slayer: Haruka Tenku no Sonata","SFX-G8","04/13/1990","SNK Electronics"
"Godzilla","THF-GZ",12.09.88,"Toho"
"Golf","HVC-GF",05.01.84,"Nintendo"
"Golf '92, The","GO1-OO",07.03.92,"GO.1"
"Golf Grand Slam","HCT-7G","01/31/1991","Hect"
"Golf-kko Open","TFC-GO, 26","11/25/1989","Taito"
"Golgo 13 II: Shou Icarus no Nazo"," ","07/27/1990","Vic Tokai"
"Golgo 13: Kamigami no Tasogare","VIC-G3","03/26/1988","Vic Tokai"
"Gomokunarabe Renju","HVC-GO","08/27/1983","Nintendo"
"Goonies 2: Flattery Saigo no Chousen","RC818","03/18/1987","Konami"
"Goonies, The","RC809","02/21/1986","Konami"
"Gorby no Pipeline Daisakusen"," ",04.12.91,"Tokuma Soft"
"Gorilla Man, The","YZW-GR","04/28/1993","Party Room 21 / Party Tap"
"Gozonji Yajikita Chindouchu","HAL-YJ",11.07.89,"HAL Laboratories"
"Gradius","RC810","04/25/1986","Konami"
"Gradius II","RC832","12/16/1988","Konami / Konami"
"Grand Master","VRE-IE","02/26/1991","Varie"
"Great Boxing Rush-Up","VIS-5E",12.07.90,"Visco"
"Great Cyber Battle","BAP-CB","12/25/1992","Banpresto"
"Great Deal","HCT-79","10/25/1991","Hect"
"Great Tank","SFX-TV","07/29/1988","SNK Electronics"
"Gremlins 2: The New Batch"," ","12/14/1990","Sunsoft"
"Guevara","SFX-GQ","12/26/1988","SNK Electronics"
"Gun Hed: Aratanaru Tatakai"," ","04/13/1990","Varie"
"Gun Nac"," ",10.05.90,"Tonkin House"
"Gun Sight"," ","03/15/1991","Konami"
"Gun-Dec","SAC-9G","04/26/1991","Sammy"
"Gyro Set","HVC-GY","08/13/1985","Nintendo"
"Gyrodyne","TFC-GD, 06","03/13/1986","Taito"
"Gyuwanburaa Jikochuushinha 2"," ",12.07.90,"ASCII"
"Haja no Fuuin"," ","10/23/1987","ASCII"
"Hana no Star Kaidou","VFR-H1-02","03/17/1987","Victor Musical"
"Hanjuku Hero"," ",12.02.88,"Square Soft"
"Happy Birthday Bugs","KSC-H8",08.03.90,"Kemco"
"Hatris","BPS-JZ",07.06.90,"Bullet-Proof Software"
"Hayauchi Super Igo"," ",03.03.89,"Namco"
"Heavy Barrel","DFC-XH",03.02.90,"Data East"
"Hebereke"," ","09/20/1991","Sunsoft"
"Hector '87","HFC-HH","07/16/1987","Hudson Soft"
"Heisei tensai Bakabon"," ",12.06.91,"Namco"
"Hello Kitty no Ohanabatake"," ",12.11.92,"Character Soft"
"Hello Kitty World","CTS-HW","03/27/1992","Character Soft"
"Hercules no Eikou"," ",06.12.87,"Data East"
"Hercules no Eikou II: Titan no Metsubou"," ","12/23/1989","Data East"
"Highway Star","SQF-HI",08.07.87,"Square Soft"
"Hino Tori: Hououhen Gaou no Bouken","RC817",01.04.87,"Konami"
"Hirake! Ponkikki: Preschool Soft"," ","04/17/1992","Takara"
"Hiryu no Ken II: Dragon no Tsubasa","CBF-H2","07/29/1988","Culture Brain"
"Hiryu no Ken III: Go Nin no Ryusenshi"," ",07.06.91,"Culture Brain"
"Hiryu no Ken Special: Fighting Wars"," ","06/21/1991","Culture Brain"
"Hiryu no Ken: Ougi no Sho"," ","02/14/1987","Culture Brain"
"Hissatsu Doujouyaburi","SEI-1A","07/18/1989","Sigma"
"Hissatsu Shigotonin"," ","12/15/1990","Banpresto"
"Hitler no Fukkatsu: Top Secret","CAP-HF","07/20/1988","Capcom"
"Hogan's Alley","HVC-HA",06.12.84,"Nintendo"
"Hokkaidou Rensa Satsujin: Okhotsk ni Kiyu"," ","06/27/1987","Login Soft"
"Hokuto no Ken","TDF-HK",08.10.86,"Toei Animation"
"Hokuto no Ken 3","TDF-K3","10/19/1989","Toei Animation"
"Hokuto no Ken 4","TDF-97","03/29/1991","Toei Animation"
"Hokuto no Ken: Part-2","TDF-HO","04/17/1987","Toei Animation"
"Holy Diver","IF-12","04/28/1989","Irem"
"Home Run Night '90: Pennant League"," ","07/24/1990","Data East"
"Home Run Night: Pennant League II"," ","03/31/1989","Data East"
